위도,경도,발생건수,사망자수,중상자수,사고지역위치명,nearest_slope_deg,dist_nearest_stop_m
37.383,127.132,19,0,3,집계격자,8.357753472993236,57.348744181199926
37.41,127.127,19,0,6,집계격자,8.43139823142437,25.310904726758043
37.422,127.105,19,1,3,집계격자,5.688206175460285,15.041537865076567
37.43,127.13,19,0,8,집계격자,5.991415952493499,107.47464357081083
37.434,127.135,19,0,4,집계격자,5.815667107319575,56.919432214899075
37.387,127.125,19,0,3,집계격자,5.231713773968358,75.2025608188122
37.433,127.164,18,0,2,집계격자,12.747086602632027,43.08951904495239
37.44,127.129,18,0,3,집계격자,5.35794739722985,30.061170918367857
37.439,127.145,18,0,7,집계격자,7.367044018436874,11.471936312228165
37.444,127.127,18,0,7,집계격자,5.264931500375477,43.84830390135059
37.403,127.105,18,0,7,집계격자,5.921011640158808,125.63915961299567
37.422,127.129,18,0,5,집계격자,6.259790904665895,164.57574614385197
37.472,127.143,18,0,2,집계격자,5.092010258391659,24.138910293547642
37.447,127.167,18,0,10,집계격자,7.2958790118745664,85.61282470104021
37.394,127.106,18,0,4,집계격자,12.366277376826993,127.27691644985298
37.46,127.126,18,0,6,집계격자,16.076629533429433,59.65823572334366
37.361,127.15,18,0,0,집계격자,17.117075056959763,794.9878145405847
37.437,127.158,17,0,4,집계격자,7.08540151593997,36.660310575015394
37.44,127.146,17,0,2,집계격자,6.514666493317893,14.75539964122772
37.437,127.14,17,0,5,집계격자,7.705336776440256,122.28508349821196
37.389,127.124,17,1,2,집계격자,5.231713773968358,41.12179116063319
37.458,127.164,17,0,6,집계격자,5.420957829734397,39.43694428197566
37.388,127.125,17,0,1,집계격자,5.231713773968358,60.26818512799773
37.457,127.163,17,1,5,집계격자,6.152818481136064,46.6176971731567
37.446,127.146,17,0,6,집계격자,7.151269115348631,145.6893451397279
37.353,127.117,17,0,4,집계격자,5.776974450291219,73.85243466615188
37.441,127.131,16,0,4,집계격자,5.049122664364679,49.527029947106186
37.372,127.134,16,0,3,집계격자,11.268443252638125,73.87210355751678
37.351,127.109,16,0,3,집계격자,6.842013489713127,16.616057692118623
37.391,127.12,16,0,2,집계격자,5.231713773968358,185.37392600875705
37.442,127.153,16,0,5,집계격자,12.279294912776408,117.13374784405747
37.407,127.142,16,0,2,집계격자,7.563617458670032,63.94877133694553
37.408,127.143,16,0,3,집계격자,10.268611605899482,55.64626202038459
37.333,127.109,16,0,3,집계격자,5.113524877241134,312.6090764494128
37.473,127.143,16,0,0,집계격자,5.092010258391659,95.00676327564328
37.387,127.084,16,0,8,집계격자,5.941278210647897,461.27532637040514
37.394,127.105,16,0,3,집계격자,12.366277376826993,66.68319543942303
37.441,127.144,16,0,7,집계격자,7.367044018436874,92.22086045503546
37.433,127.128,16,0,2,집계격자,5.991415952493499,155.28442693276148
37.353,127.109,16,0,3,집계격자,8.700448805567662,58.28525049437917
37.431,127.154,16,0,5,집계격자,7.147484073402136,126.3395562997949
37.447,127.145,16,0,6,집계격자,11.248351763842937,58.247596260586675
37.395,127.128,16,0,1,집계격자,7.365659586615414,119.1690430876851
37.471,127.126,15,0,2,집계격자,5.444298102399986,529.7987082456611
37.428,127.145,15,0,5,집계격자,11.612452674630445,45.57954792308231
37.465,127.142,15,0,3,집계격자,5.35388092186577,94.68496148988524
37.374,127.11,15,1,4,집계격자,8.022968175311606,83.87652596109434
37.384,127.131,15,0,6,집계격자,5.231713773968358,87.20877101905025
37.382,127.102,15,0,1,집계격자,6.197941752618501,63.472417266154075
37.443,127.153,15,0,3,집계격자,5.469878393715717,105.02576150388835
37.442,127.137,15,0,5,집계격자,7.992112586219589,35.47305479508798
37.444,127.155,15,0,2,집계격자,6.3073880841761865,56.53891553269052
37.444,127.143,15,0,2,집계격자,9.29085367735627,65.73452870271254
37.446,127.145,14,0,2,집계격자,10.623708705882944,149.24415511356653
37.379,127.109,14,0,3,집계격자,10.844012478813454,54.68314794502572
37.472,127.127,14,0,2,집계격자,5.444298102399986,633.3719810186735
37.437,127.141,14,0,5,집계격자,7.705336776440256,94.58683537891956
37.434,127.13,14,0,0,집계격자,5.991415952493499,12.743330574518028
37.441,127.147,14,0,4,집계격자,6.514666493317893,33.833073588804126
37.423,127.102,14,0,1,집계격자,5.688206175460285,57.53964523113656
37.45,127.159,14,0,4,집계격자,8.964228105336726,25.61647489049324
